product,review,rating
"SmartPhone X12","Screen cracked after just two weeks of normal use. Battery drains completely in less than 4 hours. Waste of money.",1
"UltraHD 55" TV","Terrible picture quality with constant color distortion. Remote stopped working after one month. Customer service was unhelpful when I contacted them.",2
"Wireless Earbuds Pro","Left earbud died after three uses. Bluetooth constantly disconnects even when my phone is right next to me. Can't believe I paid premium price for this junk.",1
"Gaming Laptop Elite","Overheats within 20 minutes of gaming. Fan sounds like a jet engine. Graphics card underperforms compared to advertised specs. Returning immediately.",1
"Smart Thermostat V2","App crashes constantly. Temperature readings are wildly inaccurate - showed 85°F when my room was freezing. Installation instructions were impossible to follow.",2
"Digital Camera X300","Buttons started sticking after minimal use. Image quality is grainy even in perfect lighting. Memory card reader corrupted my data twice.",1
"Bluetooth Speaker Max","Horrible sound quality with distortion at any volume above 50%. Battery life is 2 hours max, not the 10 hours advertised. Charging port broke after 3 weeks.",1
"Robot Vacuum Cleaner","Gets stuck in the same corner every single time. Battery dies before finishing even my small apartment. Scratched my hardwood floors badly.",2
"Fitness Tracker Pro","Heart rate monitor is completely inaccurate. Step counter adds steps when I'm sitting still. App syncs maybe 20% of the time. Save your money.",2
"External Hard Drive 2TB","Drive failed after 2 months, losing all my data. Makes concerning clicking noises. Extremely slow transfer speeds compared to advertised rates.",1
"Wireless Mouse Ergonomic","Cursor jumps randomly across the screen. Right-click works intermittently. Battery compartment cover broke off the first week.",2
"Smart Blender Ultimate","Motor burned out making a simple smoothie. Blades dulled quickly. Leaks from the bottom creating dangerous puddles near electrical outlets.",1
"4K Streaming Stick","Constant buffering even on high-speed internet. Interface lags terribly. Remote disconnects randomly during use.",2
"Noise Cancelling Headphones","Noise cancellation barely works - can hear everything around me. Ear cushions started peeling within weeks. Bluetooth range is about 5 feet max.",2
"Electric Toothbrush Premium","Battery died after 3 weeks. Charging base stopped working. Brush head fell apart while brushing, nearly choking me.",1
"Smart Home Hub","Completely incompatible with most of my devices despite claiming otherwise. Voice recognition fails constantly. Random reboots several times daily.",1
"Portable Power Bank 20000mAh","Capacity is nowhere near advertised. Takes 12+ hours to charge but only charges my phone twice. Overheats alarmingly during use.",2
"Digital Food Scale","Measurements vary by up to 30g each time I weigh the same item. Display glitches constantly. Battery compartment corroded after minimal use.",2
"WiFi Range Extender Pro","Actually made my WiFi worse. Constantly drops connection. Setup process was unnecessarily complicated and tech support was useless.",1
"E-Reader Deluxe","Screen developed dead pixels after 2 weeks. Battery drains even when not in use. Page turns lag so badly the device is unusable.",2
"Smart Doorbell Camera","Video quality is terrible - can't identify anyone. Motion detection either misses people entirely or triggers constantly for no reason. App is buggy.",1
"Sous Vide Cooker","Temperature is wildly inaccurate, ruined several expensive cuts of meat. Unit stopped working during a dinner party. Clamp mechanism broke on first use.",1
